index,ID,text
83,1458680018192715776,"RT @Pableraso: La Comisión Europea investigará a @monicaoltra  por los casos de abusos a menores
 
Ya que aquí los “transparentes” del #Bot…"
84,1458679832817057800,"RT @psotoacosta: ⚠️La Comisión Europea va a rebajar este jueves las estimaciones de crecimiento de España a 4,6% para 2021 y 5,5% para 2022…"
85,1458679266653224962,RT @iellakuria: Ya era hora. La Comisión Europea investigará la gestión de Oltra por los casos de abusos a menores tutelados  https://t.co/…
86,1458679178920869889,RT @mjmonteroc: Hoy damos un paso clave para recibir los fondos europeos al firmar con el comisario @PaoloGentiloni el acuerdo sobre las Di…
87,1458678989795508225,RT @carlossegovia_: Por fin publica el Gobierno el contrato con la Comisión Europea para publicar los fondos europeos. Lo hace sin haber in…
88,1458678865572904961,RT @elmundoes: La Comisión Europea investigará la gestión de Oltra por los casos de abusos a menores tutelados https://t.co/66rScDIdFj
89,1458678558411395075,La Comisión Europea investigará a Oltra por los casos de abusos a menores https://t.co/iIFqMaTa2Aítica
90,1458678409714937857,RT @carlossegovia_: Por fin publica el Gobierno el contrato con la Comisión Europea para publicar los fondos europeos. Lo hace sin haber in…
91,1458678372968640515,RT @elpais_inter: La presidenta de la Comisión Europea asegura en Washington que el enfrentamiento entre Polonia y Bielorrusia “no es una c…
92,1458678105896333312,"RT @raulmtt: ¿Os acordáis del anuncio de recorte en #pensiones que hizo hace 2 días Escrivá si fallaba su plan? No se le fue la olla, es lo…"
93,1458677694602911748,"➡️ La Comisión Europea hoy publica sus previsiones macroeconómicas de otoño para la eurozona y l aUE

➡️Europa no s… https://t.co/KDdaxyk7Cd"
94,1458677592177971201,"La Comisión Europea investigará a @monicaoltra  por los casos de abusos a menores
 
Ya que aquí los “transparentes”… https://t.co/IdlJDwoIdz"
95,1458676732890959872,RT @sanchezcastejon: Avanzamos y marcamos un nuevo hito: somos el primer país en acordar con la @EU_Commission las Disposiciones Operativas…
96,1458676669955387394,RT @la8mediterraneo: 🔵Esta tarde hemos conocido que la Comisión Europea investigará la gestión de Oltra por los casos de abusos a menores t…
97,1458676592402644998,"@COPE Lo que está sucediendo en Ceuta y Marruecos , y Canarias, al igual que en Italia y la frontera con Turquía ,… https://t.co/SoBYrfy107"
98,1458676435556745217,"⚠️La Comisión Europea va a rebajar este jueves las estimaciones de crecimiento de España a 4,6% para 2021 y 5,5% pa… https://t.co/Gf22nvZ8FO"
99,1458676201552289794,"RT @hermanntertsch: @ZiemianczykOlek Los polacos no están solos. Al contrario, los injustos, sectarios y malintencionados ataques a Polonia…"
100,1458676135441666054,RT @carlossegovia_: Por fin publica el Gobierno el contrato con la Comisión Europea para publicar los fondos europeos. Lo hace sin haber in…
101,1458675341170520069,"RT @jmoisesmartin: Que raro. Tenía entendido que este pacto era ""secreto"", según habían publicado medios de reconocido prestigio.
El gobier…"
102,1458675329204117504,La Comisión Europea sigue con sus recortes de merluza y lenguado https://t.co/KWZX8dsXvM
